experiment,seed,n,E_exact,E_learned,E_rel,L2,integral,collapse,path
A2,4,10,9.5,6.280853271484375,0.3388575503700301,1.4136389199829522,0.9987040758132935,False,outputs/Harmonic/runs/A2_seed4/mode_10/metrics.json
A2,0,11,10.5,7.59430456161499,0.2767328988937841,1.4131426052360136,0.9970121383666992,False,outputs/Harmonic/runs/A2_seed0/mode_11/metrics.json
A2,1,11,10.5,8.105857849121094,0.22801353817892173,1.40676267214311,0.9971407651901245,False,outputs/Harmonic/runs/A2_seed1/mode_11/metrics.json
A2,2,11,10.5,8.1632719039917,0.2225455329531503,1.4073510790548631,0.9972094297409058,False,outputs/Harmonic/runs/A2_seed2/mode_11/metrics.json
A2,3,11,10.5,7.725450038909912,0.26424285343712606,1.4126687639613864,0.9968270063400269,False,outputs/Harmonic/runs/A2_seed3/mode_11/metrics.json
A2,4,11,10.5,7.955660343170166,0.2423180625551992,1.4043378156891901,0.9969538450241089,False,outputs/Harmonic/runs/A2_seed4/mode_11/metrics.json
A2,0,12,11.5,8.744583129882812,0.23960146696669113,1.3891548601135137,0.9978170394897461,False,outputs/Harmonic/runs/A2_seed0/mode_12/metrics.json
A2,1,12,11.5,8.38466739654541,0.2708984872568973,1.4103396425466406,0.9964237809181213,False,outputs/Harmonic/runs/A2_seed1/mode_12/metrics.json
A2,2,12,11.5,8.170862197875977,0.2894902436629334,1.4106245341526618,0.9964416027069092,False,outputs/Harmonic/runs/A2_seed2/mode_12/metrics.json
A2,3,12,11.5,8.659953117370605,0.2469605984894911,1.3872392035559302,0.9979619979858398,False,outputs/Harmonic/runs/A2_seed3/mode_12/metrics.json
A2,4,12,11.5,9.02835750579834,0.21492543427838653,1.4084151287103042,0.9966570138931274,False,outputs/Harmonic/runs/A2_seed4/mode_12/metrics.json
A2,0,13,12.5,10.161251068115234,0.18709991455076627,1.4124542023693036,0.9953286647796631,False,outputs/Harmonic/runs/A2_seed0/mode_13/metrics.json
A2,1,13,12.5,10.003427505493164,0.1997257995605309,1.4131605923740835,0.9972728490829468,False,outputs/Harmonic/runs/A2_seed1/mode_13/metrics.json
A2,2,13,12.5,10.20223617553711,0.18382110595701653,1.4127911463387752,0.9961992502212524,False,outputs/Harmonic/runs/A2_seed2/mode_13/metrics.json
A2,3,13,12.5,10.302778244018555,0.17577774047850156,1.412700314666994,0.9958826303482056,False,outputs/Harmonic/runs/A2_seed3/mode_13/metrics.json
A2,4,13,12.5,10.229334831237793,0.18165321350096203,1.412645009851983,0.9957567453384399,False,outputs/Harmonic/runs/A2_seed4/mode_13/metrics.json
A2,0,14,13.5,10.733129501342773,0.2049533702708905,1.4025336038376373,0.9678990840911865,False,outputs/Harmonic/runs/A2_seed0/mode_14/metrics.json
A2,1,14,13.5,10.901299476623535,0.19249633506490907,1.4093497813995521,0.9956871271133423,False,outputs/Harmonic/runs/A2_seed1/mode_14/metrics.json
A2,2,14,13.5,10.702972412109375,0.20718722873262355,1.4008174673694527,0.9628838300704956,False,outputs/Harmonic/runs/A2_seed2/mode_14/metrics.json
A2,3,14,13.5,10.528319358825684,0.22012449193882194,1.4116479209229489,0.996483325958252,False,outputs/Harmonic/runs/A2_seed3/mode_14/metrics.json
A2,4,14,13.5,10.66319751739502,0.210133517229983,1.4111413787791052,0.9963781833648682,False,outputs/Harmonic/runs/A2_seed4/mode_14/metrics.json
A2,0,15,14.5,11.893527030944824,0.17975675648655146,1.4118231155150656,0.9956758618354797,False,outputs/Harmonic/runs/A2_seed0/mode_15/metrics.json
A2,1,15,14.5,11.613890647888184,0.19904202428355983,1.4118334446906102,0.9952502846717834,False,outputs/Harmonic/runs/A2_seed1/mode_15/metrics.json
A2,2,15,14.5,11.900924682617188,0.17924657361259538,1.4117343833340232,0.994971752166748,False,outputs/Harmonic/runs/A2_seed2/mode_15/metrics.json
A2,3,15,14.5,11.75997543334961,0.18896721149311735,1.4119288378441248,0.995518684387207,False,outputs/Harmonic/runs/A2_seed3/mode_15/metrics.json
